账套,订单号,订单子项号,客户代码（需方）,客户名称,最终用户,最终用户名称,部门代码,最早交货月,订单交货月,保产合同/非保产合同,渠道委托控货标记,制造单元,股份合同性质,品种代码,订单是否变更过(价格变更),订单是否变更过(重量变更),订单是否变更过 (交货信息变更(订单是否变更物流模板)),发布的期货价格政策,营销员代码,营销员姓名,协议价格类型,渠道强制生效&延付罚息白名单维护（Q01-延付罚息白名单，Q03-强制生效管控名单）,合同是否厂商银（F-融资）,交货方式,运输方式代码,运输方式名称,备货转销售,客商信息中的经销商（客户分级）,是否为协议用户（需方）需找客商,订单是否免息,收条是否有免息政策,收条上做买方付息，做报批件，做过折现的,订货量,订单价格(不含税）,订单价格(含税）,订单价格(结算）,总重量,总金额(含税),本客户的平均回款天数:本客户的所有订单sum（订单首次配足款时间-合同强制生效时间）/订单数,强制生效时间,本单该客户的平均晚回款比例：(本单客户的本次配足款时间-合同强制生效时间)/本客户的平均回款天数,本品种的平均回款天数:本品种的所有订单sum（订单首次配足款时间-合同强制生效时间）/订单数,本单该品种的平均晚回款比例：(本单品种的本次配足款时间-合同强制生效时间)/本品种的平均回款天数,总件数（按件计）,本客户历史订货总量,本客户历史订单总数（合约数）,订单首次配足款时间,本品种历史订单总数（合约数）,强制生效-首付款差值综合（客户）,强制生效-首付款差值综合（品种）
QB000000,QB24900157,QB249001570001,042274,广汽商贸有限公司,038489,广汽乘用车有限公司,QB202000,202409,20240809132128777,N,,C,QZA,MC,Y,Y,N,,786182,代欣瑶,,Q01,,20,22,,,0,,,,,15,8930,10090.9,8930,157,1198800,26.95918367,20240809145003,2.262679788,24.46268657,2.493593655,0,13285,49,20241009155316400,67,1321,1639
QB000000,QB24900157,QB249001570002,042274,广汽商贸有限公司,038489,广汽乘用车有限公司,QB202000,202409,20240809132129977,N,,C,QZA,MC,Y,Y,N,,786182,代欣瑶,,Q01,,20,22,,,0,,,,,25,7575,8559.75,7575,157,1198800,26.95918367,20240809145003,2.262679788,24.46268657,2.493593655,0,13285,49,20241009155316400,67,1321,1639
QB000000,QB24900157,QB249001570003,042274,广汽商贸有限公司,038489,广汽乘用车有限公司,QB202000,202409,20240809132131189,N,,C,QZA,MC,Y,Y,N,,786182,代欣瑶,,Q01,,20,22,,,0,,,,,42,7575,8559.75,7575,157,1198800,26.95918367,20240809145003,2.262679788,24.46268657,2.493593655,0,13285,49,20241009155316400,67,1321,1639
QB000000,QB24900157,QB249001570004,042274,广汽商贸有限公司,038489,广汽乘用车有限公司,QB202000,202409,20240809132132517,N,,C,QZA,MC,Y,Y,N,,786182,代欣瑶,,Q01,,20,22,,,0,,,,,55,7415,8378.95,7415,157,1198800,26.95918367,20240809145003,2.262679788,24.46268657,2.493593655,0,13285,49,20241009155316400,67,1321,1639
QB000000,QB24900157,QB249001570005,042274,广汽商贸有限公司,038489,广汽乘用车有限公司,QB202000,202409,20240809132133867,N,,C,QZA,MC,Y,Y,N,,786182,代欣瑶,,Q01,,20,22,,,0,,,,,20,7475,8446.75,7475,157,1198800,26.95918367,20240809145003,2.262679788,24.46268657,2.493593655,0,13285,49,20241009155316400,67,1321,1639
QB000000,QB24900232,QB249002320001,039574,广州阪和贸易有限公司,008906,广汽丰通钢业有限公司,QB202000,202409,20240812144243392,N,,J,QZA,MC,Y,N,N,,784334,王超,,Q01,,20,23,,,0,,,,,24,10757,12155.41,10757,24,258168,56,20240815103047,1,24.46268657,2.289200732,0,24,1,20241010144135000,67,56,1639
QB000000,QB24900380,QB249003800001,042274,广汽商贸有限公司,197844,广汽埃安新能源汽车股份有限公司,QB202000,202410,20240815094219276,N,,C,QZA,MC,N,N,N,,786182,代欣瑶,,Q01,,20,22,,,0,,,,,25,8063,9111.19,8063,140,1257320,26.95918367,20240815103049,2.262679788,24.46268657,2.493593655,0,13285,49,20241015230242300,67,1321,1639
QB000000,QB24900380,QB249003800002,042274,广汽商贸有限公司,197844,广汽埃安新能源汽车股份有限公司,QB202000,202410,20240815094220474,N,,C,QZA,MC,N,N,N,,786182,代欣瑶,,Q01,,20,22,,,0,,,,,20,9263,10467.19,9263,140,1257320,26.95918367,20240815103049,2.262679788,24.46268657,2.493593655,0,13285,49,20241015230242300,67,1321,1639
QB000000,QB24900380,QB249003800003,042274,广汽商贸有限公司,197844,广汽埃安新能源汽车股份有限公司,QB202000,202410,20240815094221823,N,,C,QZA,MC,N,N,N,,786182,代欣瑶,,Q01,,20,22,,,0,,,,,95,9163,10354.19,9163,140,1257320,26.95918367,20240815103049,2.262679788,24.46268657,2.493593655,0,13285,49,20241015230242300,67,1321,1639
QB000000,QB24900417,QB249004170001,104839,东莞凤岗嘉辉塑胶五金有限公司,104839,东莞凤岗嘉辉塑胶五金有限公司,QB202100,202409,20240815135442131,Y,,Z,QZA,L0,Y,N,N,,784629,万江,,,,20,23,,,T,,,,,20,3262.84,3687.0092,3262.84,314,1021451.76,49,20240826214112,1,16.6,2.951807229,0,314,1,20241014154543400,10,49,166
