订单号,客户代码（需方）,最终用户,部门代码,最早交货月,订单交货月,保产合同/非保产合同,渠道委托控货标记,制造单元,股份合同性质,品种代码,订单是否变更过(价格变更),订单是否变更过(重量变更),订单是否变更过 (交货信息变更(订单是否变更物流模板)),营销员代码,协议价格类型,渠道强制生效&延付罚息白名单维护（Q01-延付罚息白名单，Q03-强制生效管控名单）,合同是否厂商银（F-融资）,交货方式,运输方式代码,备货转销售,订单是否免息,收条是否有免息政策,收条上做买方付息，做报批件，做过折现的,订货量,订单价格(含税）,总重量,总金额(含税),本客户的平均回款天数:本客户的所有订单sum（订单首次配足款时间-合同强制生效时间）/订单数,本单该客户的平均晚回款比例：(本单客户的本次配足款时间-合同强制生效时间)/本客户的平均回款天数,本品种的平均回款天数:本品种的所有订单sum（订单首次配足款时间-合同强制生效时间）/订单数,本单该品种的平均晚回款比例：(本单品种的本次配足款时间-合同强制生效时间)/本品种的平均回款天数,总件数（按件计）,本客户历史订货总量,本客户历史订单总数（合约数）,本品种历史订单总数（合约数）,强制生效-首付款差值综合（客户）,强制生效-首付款差值综合（品种）,回款时间
QB23500029,008049,008049,QB202100,202306,20230506112004584,Y,N,Z,QZA,L0,Y,N,N,784580,N,N,N,20.0,23.0,N,Y,N,Y,100.0,4573.7428,2880.0,13054407.26,78.83673469,0.317111054,54.24759615,0.460849914,0.0,13054407.26,98.0,832,7726.0,45134.0,25.184027777777775
QB23500034,239811,110181,QB202200,202305,20230506132343416,N,A,Z,QPA,I0,N,N,N,784407,K,N,N,20.0,23.0,N,N,N,N,280.0,4347.7428,2880.0,13054407.26,41.0625,0.04870624,44.75777778,0.044684971,0.0,13054407.26,32.0,450,1314.0,20141.0,1.8708333333333333
QB23500038,129811,129811,QB202200,202305,20230506134842544,Y,A,Z,QPA,I0,N,N,N,784689,K,N,N,20.0,23.0,N,N,N,Y,1000.0,3870.0,3000.0,11847300.0,15,1,44.75777778,0.335137282,0.0,11847300.0,1.0,450,15.0,20141.0,14.81875
QB23500039,045737,111461,QB202200,202305,20230506134937958,N,A,Z,QPA,I0,N,N,N,784670,K,Q03,N,20.0,23.0,N,N,N,N,1000.0,3870.0,3000.0,11847300.0,107.7297297,-0.018564977,44.75777778,-0.044684971,0.0,11847300.0,37.0,450,3986.0,20141.0,-2.0881944444444445
QB23500040,100570,010125,QB202200,202305,20230506135306117,N,A,Z,QPA,I0,N,N,N,784670,K,Q03,N,20.0,23.0,N,N,N,Y,1000.0,3870.0,2000.0,7898200.0,53.63157895,0.093228656,44.75777778,0.111712427,0.0,7898200.0,19.0,450,1019.0,20141.0,4.9736111111111105
QB23500042,008049,008049,QB202100,202306,20230506161127955,Y,N,Z,QZA,L0,Y,N,N,784580,N,N,N,20.0,23.0,N,Y,N,Y,50.0,4573.7428,320.0,1440771.7,78.83673469,0.317111054,54.24759615,0.460849914,0.0,1440771.7,98.0,832,7726.0,45134.0,25.188888888888886
QB23500054,111059,247198,QB202100,202305,20230513074614623,Y,N,Z,QZA,X0,Y,N,N,784589,N,Q03,N,20.0,23.0,Y,Y,N,N,50.0,5823.1386,600.0,3546541.16,25.4,0,66.61853448,0,0.0,3546541.16,5.0,1856,127.0,123644.0,-0.22152777777777777
QB23600014,079217,142803,QB202000,202306,20230506202703999,Y,N,J,QZA,MC,Y,N,N,105289,N,Q03,N,20.0,23.0,N,N,N,N,200.0,4048.3041,2000.0,8254808.2,98.70422535,0.081050228,75.38231353,0.10612569,0.0,8254808.2,71.0,2239,7008.0,168781.0,8.356944444444444
QB23600020,234594,068311,QB202300,202306,20230508112449478,Y,N,M,QZA,ML,Y,N,N,784033,N,N,F,20.0,23.0,N,Y,N,N,50.0,8391.38,50.0,430869.0,14.75409836,7.252222222,101.2702703,1.056578596,0.0,430869.0,61.0,185,900.0,18735.0,38.03472222222222
QB23600024,008363,008363,QB202300,202306,20230508134508873,Y,N,Z,QZA,O0,Y,N,N,784033,N,N,N,20.0,23.0,N,N,N,N,22.0,9096.5,22.0,201863.2,36.57920792,2.433076194,67.4570185,1.319358637,0.0,201863.2,202.0,919,7389.0,61993.0,19.997916666666665
QB23500067,234594,038287,QB202300,202305,20230522162743687,N,N,M,QZA,ML,N,N,N,784667,N,N,F,20.0,23.0,Y,Y,N,N,150.0,8034.3,1150.0,9399905.0,14.75409836,1.355555556,101.2702703,0.197491326,0.0,9399905.0,61.0,185,900.0,18735.0,20.152083333333334
QB23600003,008906,008071,QB202000,202305,20230502161214808,N,N,J,QZA,LC,N,N,N,105237,N,Q01,N,20.0,23.0,N,Y,N,N,54.0,5989.0,54.0,327677.4,84.61266874,0.035455683,64.70043,0.046367543,0.0,327677.4,963.0,2093,81482.0,135418.0,2.724305555555556
QB23600104,262962,043740,QB202300,202306,20230512095657409,Y,N,Z,QZA,O0,Y,N,N,YX4316,N,N,N,20.0,21.0,N,Y,N,N,800.0,6236.0,1500.0,9236750.0,92.43589744,0.854646325,67.4570185,1.171116094,800.0,9236750.0,39.0,919,3605.0,61993.0,9.970833333333333
QB23600043,075969,075969,QB202300,202306,20230510091214948,Y,N,Z,QZA,O0,Y,N,N,784667,N,Q01,F,20.0,23.0,N,N,N,N,100.0,7070.41,550.0,3914150.5,92.6969697,1.067996077,67.4570185,1.467601181,0.0,3914150.5,66.0,919,6118.0,61993.0,29.952083333333334
QB23600044,075969,075969,QB202300,202306,20230510091252551,Y,N,Z,QZA,O0,Y,N,N,784667,N,Q01,F,20.0,23.0,N,N,N,N,11.0,8913.44,11.0,98047.84,92.6969697,1.046420399,67.4570185,1.437952672,0.0,98047.84,66.0,919,6118.0,61993.0,27.756944444444443
QB23600102,262962,043740,QB202300,202306,20230512095605358,Y,N,Z,QZA,O0,Y,N,N,YX4316,N,N,N,20.0,21.0,N,Y,N,N,72.0,8065.94,72.0,586442.88,92.43589744,2.06629681,67.4570185,2.831432581,0.0,586442.88,39.0,919,3605.0,61993.0,51.62291666666667
QB23600108,050819,005138,QB202300,202306,20230512095816062,Y,N,B,QZA,O0,Y,N,N,YX4316,N,Q01,N,10.0,11.0,N,N,N,N,42.0,8426.41,42.0,353909.22,90.3046595,1.207025203,67.4570185,1.615843724,0.0,353909.22,279.0,919,25195.0,61993.0,39.73263888888889
QB23600113,247309,003140,QB202300,202306,20230512113139138,Y,N,M,QZA,T0,Y,N,Y,784920,N,Q01,N,20.0,21.0,N,N,N,N,60.0,7980.06,300.0,2451173.4,69.33333333,1.442307692,56.66350711,1.764804282,0.0,2451173.4,18.0,422,1248.0,23912.0,30.695138888888888
QB23600118,010019,010019,QB202000,202306,20230512134114313,N,N,J,QZA,MC,N,N,N,784034,N,Q01,N,20.0,23.0,N,N,N,N,18.0,10392.61,18.0,187066.98,98.77419355,1.042782495,75.38231353,1.366368252,0.0,187066.98,310.0,2239,30620.0,168781.0,33.891666666666666
QB23600120,270492,000033,QB202100,202306,20230512135003166,Y,N,B,QZA,N0,N,N,N,E80347,N,Q01,N,20.0,23.0,N,Y,N,N,120.0,7433.14,120.0,891976.8,84.55555556,1.111695138,54.82336182,1.714597516,0.0,891976.8,9.0,351,761.0,19243.0,25.211111111111112
QB23600123,010019,003731,QB202000,202306,20230512135128653,N,N,Z,QZA,LC,N,N,N,784034,N,Q01,N,20.0,23.0,N,N,N,N,30.0,8593.65,30.0,257809.5,98.77419355,1.042782495,64.70043,1.591952325,0.0,257809.5,310.0,2093,30620.0,135418.0,33.891666666666666
QB23600124,010019,010019,QB202000,202306,20230512135215680,N,N,Z,QZA,LC,Y,N,N,784034,N,Q01,N,20.0,23.0,N,N,N,N,13.0,7945.03,401.0,3229970.53,98.77419355,1.042782495,64.70043,1.591952325,0.0,3229970.53,310.0,2093,30620.0,135418.0,33.891666666666666
QB23600125,050976,008906,QB202000,202306,20230512135307279,N,N,Z,QZA,LC,N,N,N,105237,N,N,N,20.0,23.0,N,N,N,N,18.0,9713.48,401.0,3229970.53,19.55681818,4.346310285,64.70043,1.313747065,0.0,3229970.53,176.0,2093,3442.0,135418.0,15.775694444444445
QB23600126,270492,000033,QB202100,202306,20230512135436938,Y,N,C,QZA,N0,Y,N,N,E80347,N,Q01,N,20.0,22.0,N,Y,N,N,17.0,9741.73,42.0,383586.41,84.55555556,1.32457293,54.82336182,2.0429247,0.0,383586.41,9.0,351,761.0,19243.0,42.69583333333333
QB23600127,010019,003731,QB202000,202306,20230512135926471,N,N,J,QZA,LC,N,N,N,784034,N,Q01,N,20.0,23.0,N,N,N,N,105.0,5718.93,105.0,608793.15,98.77419355,1.083278903,64.70043,1.653775717,0.0,608793.15,310.0,2093,30620.0,135418.0,38.275
QB23600128,010019,003731,QB202000,202306,20230512135949598,N,N,J,QCY,MC,N,N,N,784034,N,Q01,N,20.0,23.0,Y,N,N,N,18.0,10532.73,494.0,5466729.82,98.77419355,1.042782495,75.38231353,1.366368252,0.0,5466729.82,310.0,2239,30620.0,168781.0,33.64513888888889
QB23600129,050976,008906,QB202000,202306,20230512140409789,N,N,Z,QZA,MC,N,N,N,105237,N,N,N,20.0,23.0,N,N,N,N,265.0,11086.43,494.0,5466729.82,19.55681818,0.613596746,75.38231353,0.159188534,0.0,5466729.82,176.0,2239,3442.0,168781.0,11.75763888888889
QB23600136,247309,003140,QB202300,202306,20230512143457925,Y,A,M,QZA,T0,Y,N,Y,784920,N,Q01,N,20.0,21.0,N,N,N,N,30.0,9652.46,105.0,1017915.3,69.33333333,1.370192308,56.66350711,1.676564068,0.0,1017915.3,18.0,422,1248.0,23912.0,25.492361111111112
QB23600159,067788,000327,QB202100,202306,20230512153915076,Y,N,B,QZA,N0,Y,N,N,E80347,N,N,N,20.0,23.0,N,N,N,N,100.0,6674.91,100.0,675401.0,46.28571429,4.148148148,54.82336182,3.502156628,0.0,675401.0,35.0,351,1620.0,19243.0,52.66527777777778
